scenario,deal_name,year,relative_year,active,asset_value,debt_balance,assumed_liabilities,net_equity_value,noi,gross_rent,debt_service,capex,free_cashflow_after_debt_and_capex,dscr,prior_refi_liability,ending_refi_liability,max_debt_supported,cash_out_before_refi_costs,refi_costs,refi_capacity,refi_proceeds,refi_liability_added,deal_nav_before_refi_liability,deal_nav_after_refi_liability,deal_nav,entry_equity_cushion,value_to_new_equity_multiple,new_equity_required,refinance_proceeds_use
jon_downside_case,jon_deal_1,20,20,True,15705416.35576591,10000000.0,0.0,5705416.355765911,1044872.0598329988,0.0,750000.0,52243.60299164994,242628.45684134885,1.3931627464439984,0.0,0.0,9423249.813459545,-576750.1865404546,0.0,0.0,0.0,0.0,5705416.355765911,5705416.355765911,5705416.355765911,0.0,1.9018054519219703,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,1,1,True,13000000.0,10000000.0,0.0,3000000.0,720000.0,0.0,750000.0,308800.0,-338800.0,0.96,0.0,0.0,9100000.0,-900000.0,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,0.0,1.0,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,2,2,True,13390000.0,10000000.0,0.0,3390000.0,883333.3333333333,0.0,750000.0,260333.3333333333,-127000.00000000006,1.1777777777777776,0.0,0.0,9373000.0,-627000.0,0.0,0.0,0.0,0.0,3390000.0,3390000.0,3390000.0,0.0,1.13,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,3,3,True,10042500.0,8034000.0,0.0,2008500.0,1046666.6666666666,0.0,602550.0,181866.66666666666,262250.0,1.7370619312366884,0.0,0.0,7029750.0,-1004250.0,0.0,0.0,0.0,0.0,2008500.0,2008500.0,2008500.0,0.0,0.6695,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,4,4,True,10635007.5,8034000.0,0.0,2601007.5,1210000.0,0.0,602550.0,133400.0,474050.0,2.008132105219484,0.0,0.0,7444505.249999999,-589494.7500000009,0.0,0.0,0.0,0.0,2601007.5,2601007.5,2601007.5,0.0,0.8670025,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,5,5,True,11262472.942499999,8034000.0,0.0,3228472.942499999,1246300.0,0.0,602550.0,49852.0,593898.0,2.0683760683760686,0.0,0.0,7883731.059749999,-150268.94025000092,0.0,0.0,0.0,0.0,3228472.942499999,3228472.942499999,3228472.942499999,0.0,1.0761576474999996,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,6,6,True,11926958.846107498,8034000.0,0.0,3892958.846107498,1283689.0,0.0,602550.0,51347.56,629791.44,2.1304273504273503,0.0,0.0,8348871.192275248,314871.19227524754,7871.779806881189,306999.4124683663,0.0,0.0,3892958.846107498,3892958.846107498,3892958.846107498,0.0,1.2976529487024993,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,7,7,True,12630649.418027839,8034000.0,0.0,4596649.418027839,1322199.67,0.0,602550.0,52887.9868,666761.6832,2.194340170940171,0.0,787268.227803999,8841454.592619486,807454.5926194862,20186.364815487155,787268.227803999,787268.227803999,787268.227803999,4596649.418027839,3809381.1902238396,4596649.418027839,0.0,1.5322164726759462,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,8,8,True,13375857.73369148,8034000.0,0.0,5341857.73369148,1361865.6601000002,0.0,602550.0,54474.62640400001,704841.0336960002,2.2601703760683765,787268.227803999,787268.227803999,9363100.413584035,541832.1857800359,13545.804644500899,528286.381135535,0.0,0.0,5341857.73369148,4554589.505887481,5341857.73369148,0.0,1.7806192445638267,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,9,9,True,13777133.465702225,8034000.0,0.0,5743133.4657022245,1402721.629903,0.0,602550.0,56108.86519612,744062.7647068801,2.3279754873504275,787268.227803999,787268.227803999,9643993.425991556,822725.1981875567,20568.12995468892,802157.0682328678,0.0,0.0,5743133.4657022245,4955865.237898226,5743133.4657022245,0.0,1.9143778219007415,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,10,10,True,14190447.46967329,8034000.0,0.0,6156447.469673291,1444803.27880009,0.0,602550.0,57792.1311520036,784461.1476480864,2.3978147519709405,787268.227803999,787268.227803999,9933313.228771303,1112045.0009673038,27801.125024182595,1084243.8759431213,0.0,0.0,6156447.469673291,5369179.241869292,6156447.469673291,0.0,2.0521491565577636,3000000.0,fund_liquidity
jon_property_shock_25,jon_deal_1,11,11,True,14616160.89376349,8034000.0,0.0,6582160.89376349,1488147.3771640928,0.0,602550.0,59525.895086563716,826071.4820775292,2.4697491945300687,787268.227803999,787268.227803999,10231312.625634443,1410044.397830444,35251.1099457611,1374793.2878846829,0.0,0.0,6582160.89376349,5794892.665959491,6582160.89376349,0.0,2.1940536312544965,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,1,1,True,13000000.0,10000000.0,0.0,3000000.0,720000.0,0.0,750000.0,308800.0,-338800.0,0.96,0.0,0.0,9100000.0,-900000.0,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,0.0,1.0,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,2,2,True,13390000.0,10000000.0,0.0,3390000.0,883333.3333333333,0.0,750000.0,260333.3333333333,-127000.00000000006,1.1777777777777776,0.0,0.0,9373000.0,-627000.0,0.0,0.0,0.0,0.0,3390000.0,3390000.0,3390000.0,0.0,1.13,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,3,3,True,8034000.0,6427200.0,0.0,1606800.0,1046666.6666666666,0.0,482040.0,181866.66666666666,382760.0,2.1713274140458605,0.0,0.0,5623800.0,-803400.0,0.0,0.0,0.0,0.0,1606800.0,1606800.0,1606800.0,0.0,0.5356,3000000.0,fund_liquidity
