scenario,year,bonus_depreciation,straight_line_depreciation,total_depreciation,cumulative_depreciation,interest_deduction,cumulative_interest_deduction,total_deductions,cumulative_deductions,hf_stcg,re_taxable_income,total_taxable_income_no_benefit,total_taxable_income_with_benefit,tax_no_benefit,tax_with_benefit,tax_savings,cumulative_tax_savings,lp_cash_distributions,after_tax_cash_ideal,cumulative_after_tax_cash_ideal,after_tax_moic_ideal,passive_loss_generated,passive_loss_used,passive_loss_carryforward
real_estate_distress_crypto_success,4,0.0,218181.81818181818,218181.81818181818,2872727.2727272734,525000.0,2100000.0,743181.8181818181,4972727.272727273,240082.76306574562,-404452.9382274907,53811.64302007307,-164370.17516174508,19910.307917427035,0.0,19910.307917427035,134580.95313261452,32011.035075432752,51921.34299285979,270908.4626505473,0.027090846265054733,404452.9382274907,240082.76306574562,2508994.96696345
real_estate_distress_crypto_success,5,0.0,218181.81818181818,218181.81818181818,3090909.0909090918,525000.0,2625000.0,743181.8181818181,5715909.090909092,230416.02757210546,-417900.47476167756,30697.370992246084,-187484.4471895721,11358.02726713105,0.0,11358.02726713105,145938.98039974557,30722.13700961406,42080.16427674511,312988.62692729244,0.031298862692729246,417900.47476167756,230416.02757210546,2696479.4141530218
real_estate_distress_crypto_success,6,0.0,218181.81818181818,218181.81818181818,3309090.90909091,525000.0,3150000.0,743181.8181818181,6459090.90909091,221137.1249715608,-430814.1440954571,8504.79905792186,-209677.0191238963,3146.775651431088,0.0,3146.775651431088,149085.75605117666,29484.94999620811,32631.7256476392,345620.35257493163,0.034562035257493164,430814.1440954571,221137.1249715608,2906156.4332769183
real_estate_distress_crypto_success,7,0.0,218181.81818181818,218181.81818181818,3527272.7272727285,525000.0,3675000.0,743181.8181818181,7202272.727272728,212230.53639343573,-443215.14075668564,-12802.78618143173,-230984.6043632499,0.0,0.0,0.0,149085.75605117666,28297.404852458098,28297.404852458098,373917.75742738973,0.03739177574273898,443215.14075668564,212230.53639343573,3137141.0376401683
real_estate_distress_crypto_success,8,0.0,218181.81818181818,218181.81818181818,3745454.545454547,525000.0,4200000.0,743181.8181818181,7945454.545454547,203681.3627233648,-455123.81785046344,-33260.63694528048,-251442.45512709866,0.0,0.0,0.0,149085.75605117666,27157.51502978197,27157.51502978197,401075.2724571717,0.04010752724571717,455123.81785046344,203681.3627233648,3388583.492767267
real_estate_distress_crypto_success,9,0.0,218181.81818181818,218181.81818181818,3963636.363636365,525000.0,4725000.0,743181.8181818181,8688636.363636365,195475.29988925322,-466559.7204636182,-52902.60239254683,-271084.420574365,0.0,0.0,0.0,149085.75605117666,26063.373318567097,26063.373318567097,427138.6457757388,0.04271386457757388,466559.7204636182,195475.29988925322,3659667.913341632
real_estate_distress_crypto_success,10,0.0,218181.81818181818,218181.81818181818,4181818.1818181835,525000.0,5250000.0,743181.8181818181,9431818.181818184,187598.6151316757,-477541.6177430308,-71761.18442953692,-289943.00261135504,0.0,0.0,0.0,149085.75605117666,25013.14868422343,25013.14868422343,452151.7944599622,0.04521517944599622,477541.6177430308,187598.6151316757,3949610.915952987
real_estate_distress_crypto_success,11,0.0,218181.81818181818,218181.81818181818,4400000.000000002,525000.0,5775000.0,743181.8181818181,10175000.000000002,180038.12421953326,-488087.5337004506,-89867.59129909921,-308049.4094809174,0.0,0.0,0.0,149085.75605117666,24005.083229271102,24005.083229271102,476156.87768923334,0.04761568776892333,488087.5337004506,180038.12421953326,4257660.325433904
real_estate_distress_crypto_success,12,0.0,218181.81818181818,218181.81818181818,4618181.81818182,525000.0,6300000.0,743181.8181818181,10918181.81818182,172781.1695733453,-498214.7767943609,-107251.78903919744,-325433.6072210156,0.0,0.0,0.0,149085.75605117666,23037.489276446042,23037.489276446042,499194.3669656794,0.04991943669656794,498214.7767943609,172781.1695733453,4583093.93265492
real_estate_distress_crypto_success,13,0.0,218181.81818181818,218181.81818181818,4836363.636363639,525000.0,6825000.0,743181.8181818181,11661363.636363639,165815.59926005118,-507939.968337443,-123942.55089557369,-342124.3690773918,0.0,0.0,0.0,149085.75605117666,22108.746568006827,22108.746568006827,521303.1135336862,0.05213031135336862,507939.968337443,165815.59926005118,4925218.301732312
